label,name,data_category,organism,cell,data_type,lab,antibody,peaks,replicate_number,file_type
H1-hESC_H3K4me3,H1-hESC_H3K4me3,Encode,hg18,H1-hESC,ChIP-seq,Bernstein-Broad Institute,H3K4me3,Peaks,,broadPeak
H1-hESC_H3K9ac_signal,H1-hESC_H3K9ac_signal,Encode,hg18,H1-hESC,ChIP-seq,Bernstein-Broad Institute,H3K9ac,Signal,,bigWig
H1-hESC_H3K9ac,H1-hESC_H3K9ac,Encode,hg18,H1-hESC,ChIP-seq,Bernstein-Broad Institute,H3K9ac,Peaks,,broadPeak
H1-hESC_H4K20me1_signal,H1-hESC_H4K20me1_signal,Encode,hg18,H1-hESC,ChIP-seq,Bernstein-Broad Institute,H4K20me1,Signal,,bigWig
H1-hESC_H4K20me1,H1-hESC_H4K20me1,Encode,hg18,H1-hESC,ChIP-seq,Bernstein-Broad Institute,H4K20me1,Peaks,,broadPeak
H1-hESC_DNase-seq_signal,H1-hESC_DNase-seq_signal,Encode,hg18,H1-hESC,DNase-seq,Crawford-Duke University,unknown,Signal,,bigWig
HeLa-S3_DNase-seq_signal,HeLa-S3_DNase-seq_signal,Encode,hg18,HeLa-S3,DNase-seq,Crawford-Duke University,unknown,Signal,,bigWig
HepG2_CTCF_signal,HepG2_CTCF_signal,Encode,hg18,HepG2,ChIP-seq,Bernstein-Broad Institute,CTCF,Signal,,bigWig
HepG2_CTCF,HepG2_CTCF,Encode,hg18,HepG2,ChIP-seq,Bernstein-Broad Institute,CTCF,Peaks,,broadPeak
HepG2_H3K27ac_signal,HepG2_H3K27ac_signal,Encode,hg18,HepG2,ChIP-seq,Bernstein-Broad Institute,H3K27ac,Signal,,bigWig
HepG2_H3K27ac,HepG2_H3K27ac,Encode,hg18,HepG2,ChIP-seq,Bernstein-Broad Institute,H3K27ac,Peaks,,broadPeak
HepG2_H3K27me3_signal,HepG2_H3K27me3_signal,Encode,hg18,HepG2,ChIP-seq,Bernstein-Broad Institute,H3K27me3,Signal,,bigWig
HepG2_H3K27me3,HepG2_H3K27me3,Encode,hg18,HepG2,ChIP-seq,Bernstein-Broad Institute,H3K27me3,Peaks,,broadPeak
HepG2_H3K36me3,HepG2_H3K36me3,Encode,hg18,HepG2,ChIP-seq,Bernstein-Broad Institute,H3K36me3,Peaks,,broadPeak
HepG2_H3K4me2_signal,HepG2_H3K4me2_signal,Encode,hg18,HepG2,ChIP-seq,Bernstein-Broad Institute,H3K4me2,Signal,,bigWig
HepG2_H3K4me2,HepG2_H3K4me2,Encode,hg18,HepG2,ChIP-seq,Bernstein-Broad Institute,H3K4me2,Peaks,,broadPeak
HepG2_H3K4me3_signal,HepG2_H3K4me3_signal,Encode,hg18,HepG2,ChIP-seq,Bernstein-Broad Institute,H3K4me3,Signal,,bigWig
HepG2_H3K4me3,HepG2_H3K4me3,Encode,hg18,HepG2,ChIP-seq,Bernstein-Broad Institute,H3K4me3,Peaks,,broadPeak
HepG2_H3K9ac_signal,HepG2_H3K9ac_signal,Encode,hg18,HepG2,ChIP-seq,Bernstein-Broad Institute,H3K9ac,Signal,,bigWig
HepG2_H3K9ac,HepG2_H3K9ac,Encode,hg18,HepG2,ChIP-seq,Bernstein-Broad Institute,H3K9ac,Peaks,,broadPeak
HepG2_H4K20me1_signal,HepG2_H4K20me1_signal,Encode,hg18,HepG2,ChIP-seq,Bernstein-Broad Institute,H4K20me1,Signal,,bigWig
HepG2_H4K20me1,HepG2_H4K20me1,Encode,hg18,HepG2,ChIP-seq,Bernstein-Broad Institute,H4K20me1,Peaks,,broadPeak
HepG2_DNase-seq_signal,HepG2_DNase-seq_signal,Encode,hg18,HepG2,DNase-seq,Crawford-Duke University,unknown,Signal,,bigWig
HUVEC_CTCF_signal,HUVEC_CTCF_signal,Encode,hg18,HUVEC,ChIP-seq,Bernstein-Broad Institute,CTCF,Signal,,bigWig
HUVEC_CTCF,HUVEC_CTCF,Encode,hg18,HUVEC,ChIP-seq,Bernstein-Broad Institute,CTCF,Peaks,,broadPeak
HUVEC_H3K27ac_signal,HUVEC_H3K27ac_signal,Encode,hg18,HUVEC,ChIP-seq,Bernstein-Broad Institute,H3K27ac,Signal,,bigWig
HUVEC_H3K27ac,HUVEC_H3K27ac,Encode,hg18,HUVEC,ChIP-seq,Bernstein-Broad Institute,H3K27ac,Peaks,,broadPeak
HUVEC_H3K27me3_signal,HUVEC_H3K27me3_signal,Encode,hg18,HUVEC,ChIP-seq,Bernstein-Broad Institute,H3K27me3,Signal,,bigWig
HUVEC_H3K27me3,HUVEC_H3K27me3,Encode,hg18,HUVEC,ChIP-seq,Bernstein-Broad Institute,H3K27me3,Peaks,,broadPeak
HUVEC_H3K36me3_signal,HUVEC_H3K36me3_signal,Encode,hg18,HUVEC,ChIP-seq,Bernstein-Broad Institute,H3K36me3,Signal,,bigWig
HUVEC_H3K36me3,HUVEC_H3K36me3,Encode,hg18,HUVEC,ChIP-seq,Bernstein-Broad Institute,H3K36me3,Peaks,,broadPeak
HUVEC_H3K4me1_signal,HUVEC_H3K4me1_signal,Encode,hg18,HUVEC,ChIP-seq,Bernstein-Broad Institute,H3K4me1,Signal,,bigWig
HUVEC_H3K4me1,HUVEC_H3K4me1,Encode,hg18,HUVEC,ChIP-seq,Bernstein-Broad Institute,H3K4me1,Peaks,,broadPeak
HUVEC_H3K4me2_signal,HUVEC_H3K4me2_signal,Encode,hg18,HUVEC,ChIP-seq,Bernstein-Broad Institute,H3K4me2,Signal,,bigWig
HUVEC_H3K4me2,HUVEC_H3K4me2,Encode,hg18,HUVEC,ChIP-seq,Bernstein-Broad Institute,H3K4me2,Peaks,,broadPeak
HUVEC_H3K4me3_signal,HUVEC_H3K4me3_signal,Encode,hg18,HUVEC,ChIP-seq,Bernstein-Broad Institute,H3K4me3,Signal,,bigWig
HUVEC_H3K4me3,HUVEC_H3K4me3,Encode,hg18,HUVEC,ChIP-seq,Bernstein-Broad Institute,H3K4me3,Peaks,,broadPeak
HUVEC_H3K9ac_signal,HUVEC_H3K9ac_signal,Encode,hg18,HUVEC,ChIP-seq,Bernstein-Broad Institute,H3K9ac,Signal,,bigWig
HUVEC_H3K9ac,HUVEC_H3K9ac,Encode,hg18,HUVEC,ChIP-seq,Bernstein-Broad Institute,H3K9ac,Peaks,,broadPeak
HUVEC_H3K9me1_signal,HUVEC_H3K9me1_signal,Encode,hg18,HUVEC,ChIP-seq,Bernstein-Broad Institute,H3K9me1,Signal,,bigWig
HUVEC_H3K9me1,HUVEC_H3K9me1,Encode,hg18,HUVEC,ChIP-seq,Bernstein-Broad Institute,H3K9me1,Peaks,,broadPeak
HUVEC_H4K20me1_signal,HUVEC_H4K20me1_signal,Encode,hg18,HUVEC,ChIP-seq,Bernstein-Broad Institute,H4K20me1,Signal,,bigWig
HUVEC_H4K20me1,HUVEC_H4K20me1,Encode,hg18,HUVEC,ChIP-seq,Bernstein-Broad Institute,H4K20me1,Peaks,,broadPeak
GSE35156_IMR90_40000_Matrix,GSE35156_IMR90_40000_Matrix,Dixon et al. |Nature 2012|GSE35156,hg18,IMR90,Hi-C Heatmap,Bing Ren,unknown,unknown,,Image
GSE35156_IMR90_40000_Norm_Matrix,GSE35156_IMR90_40000_Norm_Matrix,Dixon et al. |Nature 2012|GSE35156,hg18,IMR90,Hi-C Norm Heatmap,Bing Ren,unknown,unknown,,Image
GSE35156_IMR90_40000_TAD,GSE35156_IMR90_40000_TAD,Dixon et al. |Nature 2012|GSE35156,hg18,IMR90,Hi-C TAD,Bing Ren,unknown,unknown,,GFF3
K562_CTCF_signal,K562_CTCF_signal,Encode,hg18,K562,ChIP-seq,Bernstein-Broad Institute,CTCF,Signal,,bigWig
K562_CTCF,K562_CTCF,Encode,hg18,K562,ChIP-seq,Bernstein-Broad Institute,CTCF,Peaks,,broadPeak
K562_H3K27ac_signal,K562_H3K27ac_signal,Encode,hg18,K562,ChIP-seq,Bernstein-Broad Institute,H3K27ac,Signal,,bigWig
K562_H3K27ac,K562_H3K27ac,Encode,hg18,K562,ChIP-seq,Bernstein-Broad Institute,H3K27ac,Peaks,,broadPeak
K562_H3K27me3_signal,K562_H3K27me3_signal,Encode,hg18,K562,ChIP-seq,Bernstein-Broad Institute,H3K27me3,Signal,,bigWig
K562_H3K27me3,K562_H3K27me3,Encode,hg18,K562,ChIP-seq,Bernstein-Broad Institute,H3K27me3,Peaks,,broadPeak
K562_H3K36me3_signal,K562_H3K36me3_signal,Encode,hg18,K562,ChIP-seq,Bernstein-Broad Institute,H3K36me3,Signal,,bigWig
K562_H3K36me3,K562_H3K36me3,Encode,hg18,K562,ChIP-seq,Bernstein-Broad Institute,H3K36me3,Peaks,,broadPeak
K562_H3K4me1,K562_H3K4me1,Encode,hg18,K562,ChIP-seq,Bernstein-Broad Institute,H3K4me1,Peaks,,broadPeak
K562_H3K4me1_signal,K562_H3K4me1_signal,Encode,hg18,K562,ChIP-seq,Bernstein-Broad Institute,H3K4me1,Signal,,bigWig
K562_H3K4me2,K562_H3K4me2,Encode,hg18,K562,ChIP-seq,Bernstein-Broad Institute,H3K4me2,Peaks,,broadPeak
K562_H3K4me3_signal,K562_H3K4me3_signal,Encode,hg18,K562,ChIP-seq,Bernstein-Broad Institute,H3K4me3,Signal,,bigWig
K562_H3K4me3,K562_H3K4me3,Encode,hg18,K562,ChIP-seq,Bernstein-Broad Institute,H3K4me3,Peaks,,broadPeak
K562_H3K9ac_signal,K562_H3K9ac_signal,Encode,hg18,K562,ChIP-seq,Bernstein-Broad Institute,H3K9ac,Signal,,bigWig
K562_H3K9ac,K562_H3K9ac,Encode,hg18,K562,ChIP-seq,Bernstein-Broad Institute,H3K9ac,Peaks,,broadPeak
K562_H3K9me1_signal,K562_H3K9me1_signal,Encode,hg18,K562,ChIP-seq,Bernstein-Broad Institute,H3K9me1,Signal,,bigWig
K562_H3K9me1,K562_H3K9me1,Encode,hg18,K562,ChIP-seq,Bernstein-Broad Institute,H3K9me1,Peaks,,broadPeak
K562_H4K20me1_signal,K562_H4K20me1_signal,Encode,hg18,K562,ChIP-seq,Bernstein-Broad Institute,H4K20me1,Signal,,bigWig
K562_H4K20me1,K562_H4K20me1,Encode,hg18,K562,ChIP-seq,Bernstein-Broad Institute,H4K20me1,Peaks,,broadPeak
GSE18199_K562_100000_Matrix,GSE18199_K562_100000_Matrix,Lieberman-Aiden and van Berkum et al. | Science 2009|GSE18199,hg18,K562,Hi-C Heatmap,Job Dekker,unknown,unknown,,Image
GSE18199_K562_1000000_Matrix,GSE18199_K562_1000000_Matrix,Lieberman-Aiden and van Berkum et al. | Science 2009|GSE18199,hg18,K562,Hi-C Heatmap,Job Dekker,unknown,unknown,,Image
ensembl_gene,ensembl_gene,Ensembl,hg18,unknown,Ensembl Gene,Ensembl,unknown,unknown,,GFF3
